system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,QA10,QA20,QA60,date,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2466.0,72.0,1990.0,1537.0,1896.0,1564.0,1445.0,1683.0,2445.0,2905.0,2234.0,3084.0,567.0,0.21446044743061066,0.0,0.0,1024.0,2019-06-19T15:41:36,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,2556.0,71.0,1734.0,1297.0,1887.0,1561.0,1437.0,1439.0,1985.0,2418.0,2220.0,2571.0,595.0,0.21410992741584778,0.0,0.0,1024.0,2019-06-19T15:41:36,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1270.0,64.0,1610.0,1091.0,1042.0,895.0,818.0,980.0,1471.0,1692.0,1603.0,1811.0,655.0,0.3242461681365967,0.0,0.0,0.0,2019-06-22T15:51:33,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1277.0,64.0,1608.0,1091.0,1041.0,894.0,820.0,979.0,1436.0,1743.0,1599.0,1851.0,612.0,0.32203391194343567,0.0,0.0,0.0,2019-06-22T15:51:33,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1377.0,21.0,2497.0,1892.0,1145.0,1111.0,1138.0,1350.0,1689.0,1929.0,1870.0,2161.0,728.0,0.2433510571718216,0.0,0.0,0.0,2019-06-24T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1395.0,21.0,2508.0,1890.0,1145.0,1109.0,1138.0,1338.0,1617.0,1846.0,1873.0,2083.0,688.0,0.24410495162010193,0.0,0.0,0.0,2019-06-24T15:41:41,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1216.0,16.0,2185.0,1628.0,1014.0,961.0,972.0,1166.0,1478.0,1687.0,1622.0,1863.0,607.0,0.25057825446128845,0.0,0.0,0.0,2019-06-27T15:51:38,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,1237.0,16.0,2190.0,1625.0,1012.0,960.0,972.0,1171.0,1492.0,1670.0,1624.0,1912.0,572.0,0.2511556148529053,0.0,0.0,0.0,2019-06-27T15:51:38,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,4980.0,849.0,4320.0,3697.0,5002.0,4682.0,4764.0,4941.0,5521.0,5836.0,5922.0,5969.0,3561.0,0.10836608707904816,0.0,0.0,1024.0,2019-06-29T15:41:37,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0,4962.0,845.0,4329.0,3747.0,5003.0,4682.0,4765.0,4965.0,5545.0,5877.0,5920.0,6005.0,3542.0,0.10809545964002609,0.0,0.0,1024.0,2019-06-29T15:41:37,"{""type"":""Point"",""coordinates"":[-71.8055,42.123]}"
