"","time","NDVI","SWdw","PAR"
"1",2018-06-09,0.139885,26.4322,13.2161
"2",2018-06-10,0.134242,18.4752,9.2376
"3",2018-06-11,0.143119,23.6024,11.8012
"4",2018-06-12,0.144184,29.835,14.9175
"5",2018-06-13,0.143336,10.034,5.017
"6",2018-06-14,0.154302,25.8497,12.92485
"7",2018-06-15,0.206183,9.51668,4.75834
"8",2018-06-16,0.154803,27.6026,13.8013
"9",2018-06-17,0.154947,30.7685,15.38425
"10",2018-06-18,0.182834,23.254,11.627
"11",2018-06-19,0.257549,31.8217,15.91085
"12",2018-06-20,0.251342,21.9248,10.9624
"13",2018-06-21,0.250088,26.2745,13.13725
"14",2018-06-22,0.276423,27.2107,13.60535
"15",2018-06-23,0.303913,6.86249,3.431245
"16",2018-06-24,0.329018,17.1453,8.57265
"17",2018-06-25,0.366417,28.5767,14.28835
"18",2018-06-26,0.341915,30.7616,15.3808
"19",2018-06-27,0.397455,17.0117,8.50585
"20",2018-06-28,0.49143,6.54889,3.274445
"21",2018-06-29,0.516835,28.1125,14.05625
"22",2018-06-30,0.545427,27.9638,13.9819
"23",2018-07-01,0.574132,28.6159,14.30795
"24",2018-07-02,0.596042,29.3601,14.68005
"25",2018-07-03,0.626466,26.4929,13.24645
"26",2018-07-04,0.649598,30.5266,15.2633
"27",2018-07-05,0.67986,28.485,14.2425
"28",2018-07-06,0.691148,11.3917,5.69585
"29",2018-07-07,0.722257,31.0367,15.51835
"30",2018-07-08,0.721945,31.0146,15.5073
"31",2018-07-09,0.730268,30.7455,15.37275
"32",2018-07-10,0.737371,29.2729,14.63645
"33",2018-07-11,0.727897,23.211,11.6055
"34",2018-07-12,0.744705,31.8955,15.94775
"35",2018-07-13,0.750827,23.7668,11.8834
"36",2018-07-14,0.741201,17.4334,8.7167
"37",2018-07-15,0.764506,24.9809,12.49045
"38",2018-07-16,0.768042,22.7178,11.3589
"39",2018-07-17,0.77309,15.0202,7.5101
"40",2018-07-18,0.781178,29.4951,14.74755
"41",2018-07-19,0.786331,30.3718,15.1859
"42",2018-07-20,0.790832,30.3638,15.1819
"43",2018-07-21,0.792884,28.3302,14.1651
"44",2018-07-22,0.774555,10.7542,5.3771
"45",2018-07-23,0.793978,19.3969,9.69845
"46",2018-07-24,0.80626,21.6191,10.80955
"47",2018-07-25,0.788958,12.493,6.2465
"48",2018-07-26,0.804855,12.7829,6.39145
"49",2018-07-27,0.818413,24.1458,12.0729
"50",2018-07-28,0.821191,24.3597,12.17985
"51",2018-07-29,0.819548,22.9846,11.4923
"52",2018-07-30,0.82344,19.6213,9.81065
"53",2018-07-31,0.83104,25.758,12.879
"54",2018-08-01,0.804609,10.3651,5.18255
"55",2018-08-02,0.837388,24.6359,12.31795
"56",2018-08-03,0.826067,18.4642,9.2321
"57",2018-08-04,0.761555,10.0005,5.00025
"58",2018-08-05,0.831986,27.4945,13.74725
"59",2018-08-06,0.823847,26.2539,13.12695
"60",2018-08-07,0.816117,25.2206,12.6103
"61",2018-08-08,0.792561,20.1991,10.09955
"62",2018-08-09,0.815185,22.309,11.1545
"63",2018-08-10,0.81493,21.2465,10.62325
"64",2018-08-11,0.749718,2.96077,1.480385
"65",2018-08-12,0.789418,7.64628,3.82314
"66",2018-08-13,0.769728,3.43575,1.717875
"67",2018-08-14,0.784461,12.223,6.1115
"68",2018-08-15,0.816109,23.6051,11.80255
"69",2018-08-16,0.804039,22.2336,11.1168
"70",2018-08-17,0.803701,21.169,10.5845
"71",2018-08-18,0.799837,12.9808,6.4904
"72",2018-08-19,0.801037,23.6061,11.80305
"73",2018-08-20,0.787597,16.2501,8.12505
"74",2018-08-21,0.790115,15.5731,7.78655
"75",2018-08-22,0.792619,15.7069,7.85345
"76",2018-08-23,0.796116,21.7532,10.8766
"77",2018-08-24,0.79076,23.4512,11.7256
"78",2018-08-25,0.783055,21.0089,10.50445
"79",2018-08-26,0.781793,20.7614,10.3807
"80",2018-08-27,0.778951,21.0217,10.51085
"81",2018-08-28,0.77607,22.3939,11.19695
