"","time","device","location","lat","long","CGDD","Cl","ET","GDD","LfAirDelta","NDVI","SWdw","maxT","meanT","minT","prate","precip","SLP","Kc","ETc","mean_tbelow","lfw","crop_water_demand","sunshine_duration","datetime"
"171",2018-06-09,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,9.17432,-0.0368912,5.21386,9.17432,8.5351,0.158659,25.897,23.2905,19.596,15.0581,NA,NA,1018.30364175,0.05866668,0.3058798,NA,NA,NA,NA,2018-06-09
"170",2018-06-10,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,17.5944,-0.035875,3.7851,8.42012,6.04675,0.160513,18.2063,22.3846,17.7909,14.4556,NA,NA,1017.04631932,0.06136716,0.23228092,NA,NA,NA,NA,2018-06-10
"169",2018-06-11,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,24.4673,-0.0286473,4.33215,6.87284,11.0238,0.163853,23.5612,22.2062,15.2275,11.5395,NA,NA,1017.20937751,0.06623332,0.28693291,NA,NA,NA,NA,2018-06-11
"168",2018-06-12,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,29.5221,-0.0273058,5.21141,5.05482,10.0069,0.1623,29.6353,20.1499,15.162,9.95974,0.0263788,0.0263788,1020.65820625,0.06397046,0.33337614,NA,NA,NA,NA,2018-06-12
"167",2018-06-13,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,35.5864,-0.0136647,1.05713,6.06427,4.48195,0.182344,9.70175,19.4672,16.5118,12.6613,0.230994,0.230994,1013.72464874,0.0931747,0.09849757,NA,NA,NA,NA,2018-06-13
"166",2018-06-14,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,43.8861,-0.0302559,4.32524,8.29972,8.2597,0.180022,24.0473,20.442,18.7245,16.1574,2.34183,2.34183,1005.04311626,0.08979184,0.38837118,NA,NA,NA,NA,2018-06-14
"165",2018-06-15,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,49.8637,0.0248813,1.06197,5.97761,3.77765,0.260799,8.24644,18.8516,15.2322,13.1036,0.281017,0.281017,1011.67014254,0.20748374,0.22034064,NA,NA,NA,NA,2018-06-15
"164",2018-06-16,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,59.2875,-0.0487243,5.32072,9.4238,9.0613,0.176635,28.3717,26.5954,19.5017,12.2521,NA,NA,1014.55662392,0.0848566,0.45149855,NA,NA,NA,NA,2018-06-16
"163",2018-06-17,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,73.5895,-0.0662831,6.19171,14.302,8.71965,0.167575,30.0377,31.0028,23.8295,17.6011,NA,NA,1016.81371411,0.0716572,0.44368051,NA,NA,NA,NA,2018-06-17
"162",2018-06-18,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,86.0965,-0.0444516,3.95343,12.507,7.3585,0.199715,22.7444,27.0491,22.0595,17.9649,6.52864,6.52864,1013.85006944,0.11848436,0.46842013,NA,NA,NA,NA,2018-06-18
"161",2018-06-19,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,97.7173,-0.0172771,5.48952,11.6208,7.2624,0.273457,29.5409,24.9505,21.2704,18.2911,1.73137,1.73137,1007.15910684,0.22592615,1.24022723,NA,NA,NA,NA,2018-06-19
"160",2018-06-20,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,107.021,-0.0170558,4.51716,9.30418,7.2439,0.269059,23.2276,23.7066,19.6149,14.9017,0.00108521,0.00108521,1011.13340236,0.21951955,0.99160597,NA,NA,NA,NA,2018-06-20
"159",2018-06-21,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,119.143,-0.0318733,5.44139,12.1211,8.42065,0.247468,28.2084,27.6936,20.6513,16.5486,NA,NA,1008.06885458,0.18806047,1.02330944,NA,NA,NA,NA,2018-06-21
