"","time","device","location","lat","long","B1dw","B1uw","B2dw","B2uw","B3dw","B3uw","B4dw","B4uw","B5dw","B5uw","B6dw","B6uw","B7dw","B7uw","LWdw","LWuw","LfW","P","SLP","PARdw","PARuw","RH","SWdw","SWuw","Tabove","Tair","Tbelow","Tdew","prate","precip","datetime"
"4070",2018-06-06 18:00:00,"A000680","5b1aa7c6f2a0ff00019bede4",42.1218,-71.8065,0.0684359,0.0472262,0.0510928,0.0307989,0.0731852,0.0437278,0.0932115,0.0836466,0.0388225,0.0423091,0.123731,0.11249,0.0143637,0.0137444,391.513,-446.832,NA,992.33329773,1021.77270838,2.32298,-2.61603,42.64380038,1.72765,-2.72579,15.0643,23.5156,24.7478,10.0861,NA,NA,2018-06-06 18:00:00
"4071",2018-06-06 18:00:00,"A000680","5b1822be0cdb4000019d0141",0,0,0.0683011,0.0459642,0.0530852,0.0303331,0.0739093,0.0475713,0.0983044,0.0833123,0.03855,0.041499,0.127812,0.107086,0.0141483,0.0137306,391.491,-447.027,NA,992.34283447,663.78312752,2.30007,-2.70397,42.55161285,1.71061,-2.81742,15.0602,23.5305,24.7803,10.0671,NA,NA,2018-06-06 18:00:00
"4069",2018-06-08 16:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,21.1768,1.32344,36.6793,1.41935,38.0122,2.19542,45.8832,4.3505,24.3337,3.43984,30.4947,4.20638,4.74749,0.730932,364.278,-473.712,NA,989.0599823,1018.65650979,1177.83,-113.693,49.8817414,875.98,-118.463,9.89562,20.8641,29.1258,10.001,NA,NA,2018-06-08 16:00:00
"4068",2018-06-08 17:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,13.5797,0.78384,21.392,0.841808,22.0049,1.31803,24.8565,2.47228,13.3535,1.92821,17.424,2.44618,2.51853,0.397823,362.861,-464.575,NA,988.67500305,1018.19469596,816.322,-81.0705,49.63008463,607.117,-84.4719,9.63096,21.4991,27.6612,10.5211,NA,NA,2018-06-08 17:00:00
"4067",2018-06-08 18:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,17.6817,0.977186,30.076,1.16074,30.6131,1.81942,37.0073,3.64836,20.0015,2.87642,25.4527,3.54175,3.77271,0.593366,348.275,-473.033,NA,988.29170227,1017.78561009,1053.65,-106.297,49.68756735,783.622,-110.757,6.74403,21.6393,29.0218,10.6687,NA,NA,2018-06-08 18:00:00
"4066",2018-06-08 19:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,13.8744,0.81641,23.634,0.964481,24.1327,1.52102,28.6312,2.97393,15.483,2.35684,20.2085,2.97334,2.93342,0.488645,349.985,-473.565,NA,987.76664734,1017.16331792,836.403,-89.5946,48.56556654,622.052,-93.3535,7.08397,22.4464,29.1049,11.062,NA,NA,2018-06-08 19:00:00
"4065",2018-06-08 20:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,13.4152,0.822436,23.3395,0.995534,23.6975,1.57234,28.4562,3.10125,15.2211,2.43988,19.9284,3.06386,2.88513,0.505953,349.802,-473.148,NA,987.48336792,1016.82408852,663.455,-75.1963,48.47975075,493.427,-78.3512,7.05127,22.9177,29.0396,11.4646,NA,NA,2018-06-08 20:00:00
"4064",2018-06-08 21:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,3.65254,0.259181,5.71775,0.269413,6.02251,0.427916,6.34903,0.753951,3.75485,0.626197,5.44018,0.875072,0.695714,0.127671,376.405,-453.135,NA,987.57499695,1016.87945838,170.458,-20.8946,49.29505885,126.774,-21.7712,12.2407,23.3056,25.7917,12.0721,NA,NA,2018-06-08 21:00:00
"4063",2018-06-08 22:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,3.19095,0.208215,4.93962,0.231214,5.1948,0.375892,5.46559,0.674379,3.0416,0.54547,4.39878,0.763076,0.600021,0.117286,369.46,-449.899,NA,987.69996643,1017.02255158,177.76,-23.8002,52.56063938,132.204,-24.7987,10.914,23.1623,25.2575,12.9214,NA,NA,2018-06-08 22:00:00
"4062",2018-06-08 23:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,1.84608,0.125794,2.68796,0.143698,2.77562,0.237128,2.85179,0.439126,1.50933,0.403037,2.17701,0.589849,0.28108,0.0838256,356.469,-442.713,NA,988.17497253,1017.56005532,74.3614,-11.3979,55.44822216,55.3043,-11.876,8.38402,22.6819,24.0554,13.2869,NA,NA,2018-06-08 23:00:00
"4061",2018-06-09 00:00:00,"A000680","5b1aaa3af2a0ff00019bedea",42.1218,-71.8065,0.18836,0.0423692,0.210296,0.0286516,0.212828,0.0457236,0.199294,0.076672,0.119047,0.0440239,0.192718,0.097059,0.0253162,0.01292,351.865,-427.083,NA,988.51669312,1018.0849928,6.41036,-2.45128,59.43363309,4.76753,-2.55412,7.46742,20.9746,21.3988,12.7607,NA,NA,2018-06-09 00:00:00
